sasdate,CMRMTSPLx,GDPCTPI,FEDFUNDS,INDPRO,PCECC96,GDPC1,CPIAUCSL,PPIACO
2000/6/1,9772,0.452,0.5966,1.1434,-46.622,190.077,-0.3334,2.4
2000/9/1,130,0.474,0.2467,-0.093,2.181,-219.086,0.2334,1.7334
2000/12/1,-3009.667,0.414,-0.0467,-0.2012,-9.758,64.51,-0.3334,1.7666
2001/3/1,-7150.667,0.503,-0.88,-1.2575,-39.645,-119.903,0.4334,2.2334
2001/6/1,-14824.333,0.528,-1.2666,-1.187,-14.276,115.11,-0.4334,-1.5334
2001/9/1,-4464.333,0.25,-0.83,-1.2806,9.422,-132.494,-0.7333,-2.8666
2001/12/1,16889,0.274,-1.3634,-0.959,102.089,91.275,-0.6333,-3.9667
2002/3/1,-571.334,0.219,-0.4,0.6693,-104.824,80.068,0.7,-0.5
2002/6/1,13277.667,0.329,0.0167,1.4196,18.766,-34.993,0.8333,1.9333
2002/9/1,4051.333,0.345,-0.01,0.5445,19.349,-21.23,-0.4334,0.8334
2002/12/1,-3019.666,0.466,-0.2967,-0.0207,-13.189,-38.96,0.1001,1.4
2003/3/1,-185.334,0.404,-0.1933,0.582,-9.272,54.261,0.8,4.9666
2003/6/1,9531,0.24,-0.0033,-0.7013,60.353,42.069,-2.1667,-0.8666
2003/9/1,20430.667,0.451,-0.23,0.6176,33.2,116.24,1.6666,0.9
2003/12/1,7641.333,0.458,-0.02,0.9167,-72.578,-72.958,-0.6666,1.1666
2004/3/1,8646,0.628,0.0066,0.6647,20.59,-85.07,0.8667,2.9667
2004/6/1,10400,0.691,0.0067,0.545,-24.948,32.874,-0.1,4.0667
2004/9/1,10649,0.545,0.4233,0.5339,47.115,27.085,-0.2667,1.4333
2004/12/1,17039,0.654,0.5167,1.3721,-0.592,9.431,0.8333,2.8333
2005/3/1,15215.667,0.654,0.52,1.3998,-48.648,16.834,-1.0666,1.5334
2005/6/1,15367.333,0.609,0.4733,0.5025,55.086,-93.546,0.3333,2.4666
2005/9/1,6258.334,0.817,0.5167,-0.4571,-15.187,64.092,1.6333,4.1667
2005/12/1,10712,0.695,0.52,0.9632,-67.404,-37.729,-1.1,5.6
2006/3/1,20016,0.612,0.4767,0.9415,83.341,105.886,-0.7999,-1.5333
2006/6/1,-3895,0.744,0.45,0.6083,-61.344,-164.75,0.7666,2.6333
