sasdate,FACTOR,PCECC96,GDPC1,CPIAUCSL,PPIACO
2013/3/1,5740.721835,7.999,125.355,-0.5983,1.3333
2013/6/1,1318.53472,-49.335,-123.61,-1.1843,0.3667
2013/9/1,2617.081261,37.238,108.289,1.5093,0.2
2013/12/1,7521.023616,50.989,3.459,-0.3923,-2.2667
2014/3/1,-280.3865014,-51.855,-179.073,0.5956,3.6
2014/6/1,5388.586356,79.441,272.044,-0.207,2.7
2014/9/1,3946.340776,-0.802,-19.312,-0.6453,-1.0667
2014/12/1,2678.44434,17.118,-109.683,-1.196,-6.7
2015/3/1,2734.979059,-42.978,38.602,-0.9786,-8.9
2015/6/1,1768.111245,-3.289,-6.453,3.1869,1.5
2015/9/1,2224.032507,-3.252,-70.536,-0.694,-1.4
2015/12/1,1014.531586,-36.975,-51.873,-0.9153,-6.0666
2016/3/1,2493.674382,40.357,82.257,-0.1003,-3.5667
2016/6/1,152.8472162,-6.92,-5.359,1.7973,3.3667
2016/9/1,3846.187066,-9.293,13.079,-0.591,1.7
2016/12/1,4407.50004,-1.529,-6.5,0.448,0
2017/3/1,2515.180722,-2.663,11.868,0.103,4.2
2017/6/1,638.5126256,0.415,-5.233,-1.431,1.8666
2017/9/1,6970.792785,-0.619,46.718,1.0683,0.9
2017/12/1,8701.078958,70.05,16.396,0.6017,1.6667
2018/3/1,-1217.808358,-90.243,-43.116,0.072,3.1333
2018/6/1,1141.436915,73.101,44.091,-0.6486,3.7334
2018/9/1,2933.993607,-15.68,-25.296,-0.0784,1.2
2018/12/1,1810.467127,-64.11,-83.757,-0.3197,-1.1334
2019/3/1,7953.226703,-9.485,92.905,-0.378,-2.8333
2019/6/1,-3801.577634,100.751,-47.194,1.2757,1.5
